	gt	ms_total	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9
0	33	0.2143838384228019	0.022855922156432316	0.019557522385914353	0.02471623457780734	0.025753147977418823	0.02475609909160434	0.027484125575541835	0.026362201717300693	0.021645441291940674	0.021253143648841538	0.0
1	77	0.2765004466475879	0.03584086679263413	0.02555574065619228	0.031203669184183	0.035830093194973364	0.03170573573154805	0.03420348091103707	0.027347259225964413	0.018265872895448884	0.036547728055606736	0.0
2	81	0.2842603557903366	0.07297038029239643	0.03444463138052338	0.034991647778932995	0.03624313871716417	0.03557091934945043	0.03452617353300474	0.021079371270616855	0.009192846815100627	0.005241246653146954	0.0
3	28	0.10911257107572364	0.009369023997237573	0.0058429558556819085	0.007065662044525706	0.004090997987247869	0.004190626511308162	0.0071785837734573005	0.011726598524771197	0.017349107182802415	0.04229901519869152	0.0
4	56	0.14628222207010874	0.04702934093913638	0.015546397970015207	0.019633546662144938	0.017147016623932178	0.01018276612186846	0.009102277100501807	0.010378705282475649	0.008624092442543398	0.008638078927490715	0.0
5	83	0.20807897894543992	0.07893420466914533	0.030033321737016748	0.026602106317195423	0.02150986471715441	0.0160030743886193	0.014531099505985995	0.010580956906142639	0.005257015113271285	0.0046273355909088	0.0
6	12	0.12034813634992816	0.023602542134040616	0.00992065137365285	0.007854758659178706	0.005920100651734117	0.006906513607640451	0.007660833552726832	0.006626707538407082	0.012095195959205145	0.03976083287334234	0.0
7	41	0.28475706382793364	0.045057235882279105	0.0236290089188138	0.022475055390241423	0.02865492708317937	0.024096263833768734	0.027928771286957386	0.050176140512114636	0.0364550637540922	0.02628459716648701	0.0
8	44	0.24298485485364818	0.0334463685888749	0.019257042224371038	0.020561618714490623	0.02349609713279565	0.020478434440579604	0.024220453676706367	0.04052789205016103	0.03318970237020441	0.027807245655464545	0.0
9	57	0.09078843439688762	0.014277158173504837	0.007215836231145438	0.010161472127343219	0.011445836363123796	0.012165155635289492	0.015248322065174439	0.009728491377562251	0.005770165871571319	0.004775996552172832	0.0
10	80	0.14217527609779484	0.025200189870420556	0.01201559755634185	0.014971273896849997	0.016720567287176524	0.01736622460264575	0.019227086866137166	0.013165271908266244	0.01019245058509816	0.013316613524858599	0.0
11	0	0.050628315540220264	0.015901503668590798	0.004589774523781628	0.004531750071971993	0.005403185604501036	0.0041685160481050535	0.004120057418070622	0.004993222253650223	0.004348736203544719	0.002571569748004188	0.0
12	41	0.16416764159393224	0.02749271289930156	0.010394875331571156	0.011579981504482641	0.013842712690439046	0.01471776098360612	0.01732294131401942	0.017051493393458565	0.01764633808966854	0.03411882538738519	0.0
13	45	0.11319284748731862	0.020462115719770135	0.011408843323392016	0.011926603067267404	0.010133103023435192	0.011915331106686852	0.018550226266070287	0.011074609430693556	0.008711357418876024	0.009010658131127147	0.0
