	gt	frac
0	36	0.036736308482030945
1	42	0.12651096592068548
2	33	0.08537413379731595
3	45	0.11011070191920413
4	59	0.11418818747204973
5	59	0.0910008694445471
6	46	0.051817465350480305
7	52	0.09805254883453372
8	11	0.13820863089232138
9	33	0.022579608612448503
10	19	0.03256746973298688
11	19	0.025234872961884647
12	22	0.05018313175922258
13	47	0.06515939502565497
14	54	0.0689605105612531
15	48	0.044830855182008154
16	62	0.05476432781910852
17	60	0.14926858389948597
18	62	0.18549388592142768
19	26	0.04546226556870397
20	22	0.0475590470134262
21	89	0.07695988046930233
22	52	0.052873453097494236
23	89	0.15887147897377388
24	68	0.0727616904976302
25	82	0.08119836869959277
26	71	0.11029349723598893
27	86	0.08328328635148864
28	80	0.08528886719519554
29	54	0.11772063383514954
30	34	0.1685686640790378
31	77	0.1434292436714603
32	69	0.07317570723528083
33	18	0.03982668788413202
34	40	0.05252997989251321
35	16	0.040842778242304825
36	48	0.06781877387276747
37	89	0.044605641737933466
38	70	0.028776030715706776
39	50	0.023705129914204308
40	76	0.06069846968305
41	83	0.1446283239938104
42	40	0.09301222578765121
43	56	0.09057002529365649
44	47	0.09959447624021997
45	65	0.05599460557448116
46	72	0.05150578446992852
47	29	0.06408482884148886
48	25	0.047040754825864284
49	28	0.02777231604382259
50	22	0.07899979959756237
51	21	0.05853953809459087
52	82	0.08181197739196469
53	4	0.04554319732314024
54	50	0.09219201331202337
55	82	0.10065158346304368
56	31	0.05983187328006046
57	24	0.11184756603821848
58	65	0.13041731957489008
59	68	0.07951553035813805
60	64	0.13064017648373755
61	100	0.11502942996862889
62	69	0.08794076664450162
63	73	0.11616334681499926
64	44	0.06268508015757379
65	65	0.04442106088707181
66	32	0.02447488816710494
67	75	0.04974425013957827
68	44	0.040071750416359964
69	82	0.09767673793931511
70	86	0.09515335827278162
71	25	0.023369092116387172
72	0	0.027405806452980134
73	15	0.10230172303562417
74	8	0.04911343291473693
75	26	0.07536845613297112
76	54	0.11273590698127726
77	22	0.05941617448802096
78	50	0.10404756144523988
79	36	0.06258059838214754
80	45	0.08486934863368134
81	34	0.04884900438999489
82	64	0.07652844702073655
83	2	0.13421075997478568
84	14	0.060663356382658476
85	48	0.12959334455867919
86	33	0.14382641876555466
87	39	0.14099302472491587
88	36	0.1817421347693038
89	79	0.06454549270849608
90	14	0.021769789791226533
91	42	0.1212948086582838
92	34	0.0996444320252451
93	50	0.08791996891340692
94	14	0.08360654301641235
95	43	0.14283429759140095
96	58	0.055034642754763274
97	40	0.0436244979417115
98	24	0.04415437799704262
99	91	0.04707497057057337
100	73	0.05599628570732937
101	46	0.07427170732730518
102	72	0.05514064898929429
103	71	0.04578041897113272
104	71	0.07396671649083303
105	67	0.0733365731733885
106	73	0.05735726365164032
107	68	0.22648593038761944
108	24	0.13401255101356024
109	32	0.07478004881440525
110	49	0.048778170080142486
111	30	0.07127460332362177
112	19	0.07138715705318101
113	47	0.13490166884141047
114	20	0.15166085767709225
115	11	0.1353230977872943
116	21	0.1047727622212597
117	7	0.08725777571191098
118	2	0.055543306998056215
119	7	0.138113108186103
120	64	0.08862827697494231
121	31	0.030191572520986795
122	38	0.041082444844087775
123	65	0.08701819177540164
124	21	0.040232837364500354
125	55	0.031053157958508795
126	32	0.07557533037921169
127	42	0.03985331492998776
128	82	0.11829812376236437
129	87	0.0929497729704286
130	45	0.05261062047028606
131	15	0.03759511373718884
132	35	0.03842354567808953
133	46	0.07513612366544421
134	82	0.12212403326857046
135	23	0.02643384045994257
136	51	0.045528702308777216
137	52	0.0427879443732504
138	10	0.016067600746014692
139	41	0.10469093800054025
140	54	0.08164094047858625
141	8	0.09634254168296648
142	51	0.10632248692817356
143	40	0.0956962202582246
144	38	0.08526685515012077
145	67	0.06641450985351713
146	55	0.09761743948291088
147	70	0.06999939515251608
148	44	0.08163967174910564
149	71	0.05941989420421492
150	53	0.11633263786997278
151	46	0.08244788234590797
152	77	0.09889125146759281
153	47	0.048560033233189526
154	45	0.043431061364285733
155	65	0.06589009299092481
156	86	0.08429462110790034
157	89	0.09660358753483461
158	63	0.04468869059785319
159	46	0.07062311839309478
160	23	0.07134843317219383
161	83	0.13587317529261764
162	42	0.07513273187075227
163	33	0.03503625012460942
164	27	0.024155942191104555
165	83	0.1012459751471499
166	41	0.06487997972970241
167	16	0.021822178561086657
168	31	0.038632606526453075
169	33	0.03343434806281187
170	50	0.041717112507655224
171	61	0.06537441269071194
172	43	0.0340498306476325
173	63	0.042389775550349035
174	54	0.07492997994888187
175	62	0.055473752099561624
176	34	0.12846195851163236
177	19	0.06948284457072046
178	87	0.09211324679232119
179	71	0.062429266256342764
180	45	0.05213135251950924
181	31	0.036942961208989766
182	37	0.076395662011306
183	87	0.06410448207452556
184	55	0.05607913292749993
185	60	0.05479622894591371
186	80	0.08051848621132172
187	89	0.0966422203999836
188	22	0.0676954784334527
189	48	0.06577912061437216
190	7	0.01607105805793267
191	13	0.05198814141029753
192	22	0.0392518245052574
193	53	0.04652244725568991
194	34	0.05649326989250804
195	21	0.040949074608804904
196	48	0.14193506483707544
197	73	0.08957875548263669
198	60	0.12857299673425426
199	28	0.038553736326633004
200	62	0.19600260747461468
201	53	0.11364558310337995
202	36	0.0548637110240327
203	19	0.02586269230941676
204	22	0.027720789026282146
205	38	0.048856404576162166
206	12	0.029433661080035235
207	18	0.06390832835621581
208	59	0.09548968209925801
209	39	0.12317664824672489
210	4	0.1077916090905594
211	72	0.08211166224447022
212	38	0.08198268465125619
213	30	0.03443978571092594
214	60	0.06839019103793631
215	36	0.11989707107181198
216	36	0.11509236731615972
217	34	0.06943535953165487
218	8	0.06903273811313643
219	39	0.13937421154803092
220	12	0.09805959161166462
221	21	0.08022092418514123
222	10	0.06699057930888182
223	60	0.16235081964268167
224	6	0.058134988132481
225	57	0.25021997361676585
226	34	0.07649265575687943
227	6	0.00914557420689165
228	9	0.0270690192167491
229	19	0.08356704248264728
230	67	0.0406172675720373
231	39	0.048457519266198554
232	36	0.038799800533920646
233	50	0.03916628875647371
234	24	0.07546574765694389
235	60	0.05411428003539033
236	0	0.04471333501096503
237	7	0.019268236233042114
238	37	0.017955981034719907
239	82	0.05341267670584389
240	75	0.060198002992983946
241	62	0.056082331267892124
242	63	0.06122300291618114
243	78	0.051895870251638554
244	45	0.053431757812922795
245	33	0.08407925554203421
246	46	0.08103167116697552
247	14	0.07245062909667294
248	44	0.08067652489816003
249	24	0.06443588952900857
250	17	0.03677615949338151
251	20	0.07526301373360578
252	28	0.03989364576482399
253	16	0.04033986393331941
254	31	0.10122145448978469
255	44	0.07506029914351912
256	39	0.049060060870634546
257	12	0.08061695341159882
258	12	0.046142884108393074
259	6	0.04855618713625365
260	10	0.08471484013588718
261	72	0.1388464569991874
262	62	0.08211024608713308
263	44	0.04589987952943404
264	48	0.06713715852137236
265	73	0.07056576826905085
266	72	0.0870280328043187
267	63	0.06993337395486074
268	32	0.069976482484308
269	48	0.07019006387163232
270	49	0.07276813520552573
271	20	0.02600677049236465
272	35	0.04413415679429748
273	31	0.06527577271121672
274	57	0.07677732068203849
275	25	0.0631370987482942
