	gt	ms_total	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13
0	29	0.11813995752762516	0.007213725222049326	0.002807803554518905	0.003421842960998603	0.004291996604978384	0.004945441682123682	0.0068233558157700415	0.0071359455963400965	0.010400347980307409	0.01261921583518379	0.024655176445135013	0.004918253467338828	0.01884618273853768	0.010060669624343394	0.0
1	42	0.16137435341576814	0.007075334165286952	0.0028016053328699525	0.0033399053237197504	0.0043911083810338905	0.005412907133407155	0.007861249807157208	0.008877918301565323	0.014704811634900557	0.017496673932778237	0.033553982659886496	0.010197464924329703	0.029528025028440673	0.016133366790392234	0.0
2	68	0.16876529701448673	0.015283741858594019	0.00804493952298393	0.008942028953855714	0.010339922989711555	0.01070710961418901	0.012704747466481366	0.011172347625492643	0.016114898718982116	0.017683167984721526	0.02613702444786186	0.004081663991216821	0.0213660962535941	0.006187607586802059	0.0
3	39	0.18931498218633147	0.008118474875467456	0.0039018344320835494	0.0052757583583174115	0.00754031460307234	0.009653954022447012	0.012195229556643102	0.012039711945167926	0.017876140939677796	0.01857973491651007	0.03388643070779629	0.011006415547052584	0.03562801730032264	0.013612964981773328	0.0
4	76	0.1649930241158154	0.006544238266877202	0.004494669579126166	0.006181297085016963	0.008504441642301108	0.01038067404037492	0.014828074312386766	0.016052108172177126	0.023780827930378966	0.020199086249797424	0.0257791521023586	0.006362376418715614	0.01578658253160028	0.006099495784704283	0.0
5	41	0.14655826141822376	0.013398884688652666	0.0062220580369021766	0.007063311110560046	0.008367632027509222	0.00940096161986873	0.012157255047989528	0.010524034813041195	0.013189769374911613	0.014980988116901572	0.02550351555220883	0.0037138057773183812	0.021137287741155097	0.0008987575112046878	0.0
6	39	0.1611057538763726	0.008333754270243958	0.0036389732227904174	0.004283189285617727	0.005033556804287711	0.005282428001590259	0.006846155036875934	0.00712926427642472	0.01148367024383477	0.018455845253607932	0.04323423038341386	0.014732733221990719	0.027328613893380545	0.005323339982314071	0.0
7	40	0.2155809898885569	0.0066076374583515455	0.004178011193513841	0.005709244673758691	0.007288964347282633	0.008299133302951784	0.011405264523984621	0.012718325934314786	0.020691454268085573	0.021857348429955493	0.04048591164901284	0.01249054565466947	0.03276214589027887	0.031087002562396764	0.0
8	33	0.11374212008492988	0.00520422934311785	0.0016816092863526123	0.001944740661749793	0.002395377713189367	0.00280524330554975	0.004112484760286231	0.004343959031628869	0.0066414508331285385	0.010084539467432325	0.02041856437895026	0.006167371758090514	0.03222311785136274	0.015719431694091023	0.0
9	33	0.1226958146559817	0.010933028138536928	0.005427852457016842	0.00637184877723844	0.008130270462440475	0.006541872068859346	0.007484280184989398	0.007073874423094574	0.010669186130751091	0.012679631381261287	0.022080638965841615	0.004394716951579928	0.016461058203122717	0.004447556511249059	0.0
10	52	0.21171655585605675	0.005087534260363246	0.0025639155926521213	0.004029638996934551	0.006287385205986869	0.008419215211244238	0.011760849140626278	0.011321647934366234	0.018313097020819846	0.02434727114483687	0.051935645502180106	0.01805489109012206	0.03364843149577431	0.015947033260150012	0.0
11	37	0.2073075325127215	0.02094826926826506	0.010577269822806502	0.011056304040325858	0.012231749218678131	0.012713681228424437	0.015069237122414793	0.012911408401646784	0.0173231928546713	0.019663190769593317	0.03552216245312214	0.00942647069314383	0.026451856234118387	0.0034127404055109365	0.0
12	61	0.15633350975498306	0.010727835465146423	0.004748272786815469	0.005341464681366097	0.006574122580101356	0.0077689881613553	0.010601009137904932	0.010142176956256263	0.014432700137461202	0.015607204004261948	0.02315395846385209	0.005515217202994981	0.02758557518650278	0.01413498499096422	0.0
13	71	0.14109175869021737	0.00449875809001172	0.002828414944335505	0.0039228267974543065	0.00547777291040492	0.006722520015126682	0.009183502486970306	0.009287140521137199	0.01454413831469295	0.015423380314440086	0.02622517174338635	0.00881243771618346	0.024873259685368646	0.00929243515070524	0.0
14	44	0.22255842453043814	0.007986114866254026	0.00428534698156252	0.00545127647253004	0.006993089561605248	0.007407449962485396	0.009441529809535715	0.009677353825381476	0.016426573883987307	0.02072424983455641	0.04800048347869086	0.017965832843408493	0.04526814766224083	0.02293097534819981	0.0
15	34	0.10171688743082972	0.006521357002723877	0.002744099354961927	0.0032534837670558673	0.003984081471459893	0.004906485223360572	0.006843590285409599	0.007093501819013484	0.010956876785513683	0.013011104443592731	0.01885521152825083	0.0023254447051095396	0.014568407626970765	0.006653243417406963	0.0
16	70	0.19895083998313584	0.00933775267504786	0.005625553323220022	0.007393249567464122	0.010063923855718429	0.012381470075724741	0.016758712909967898	0.015695955619964657	0.023189924864229824	0.02404088717460394	0.03835750087711773	0.009330102821583804	0.024570053813589968	0.0022057524049028396	0.0
17	52	0.13336823933907846	0.008117285631266867	0.002366515105498154	0.0027351063474594694	0.0034299601764874272	0.0038611824879231293	0.005507359387910767	0.005818352276976628	0.009392872366862207	0.015216076849947885	0.03010163484000728	0.008179294626783922	0.03491610749746545	0.0037264917444892656	0.0
18	29	0.23028180599321113	0.005983700858795252	0.0036683028165397655	0.005720549394817261	0.009342256278302059	0.012682760081134732	0.01577093474404108	0.015782128438717905	0.02549910126844533	0.02951146996352675	0.051969304997504365	0.014777281445385843	0.03547082195955494	0.004103193746445859	0.0
19	27	0.10722054831884503	0.006457466411594852	0.0020523921506025835	0.0021191079174705764	0.0024938598837198787	0.002621841666162718	0.003419173182466365	0.003598379433317073	0.005661911386930416	0.009254918866916586	0.019155634496420323	0.00544537863809842	0.033700953624033414	0.01123953066111182	0.0
20	46	0.2026393221323317	0.013944312280462074	0.007065076922107252	0.008644723260031878	0.011226299463327625	0.0120839722883405	0.01362015464252206	0.012305820635219858	0.019050452803630415	0.020676510063271213	0.03192289187713104	0.007519680128298647	0.026212717528907217	0.018366710239081922	0.0
21	76	0.14894634837566728	0.003719896603851424	0.0024462521549513012	0.0036699569006075888	0.0053564452425784205	0.00699223745816163	0.010141725117358096	0.010778426984627396	0.01693103670654309	0.016819776274139255	0.02935638034585705	0.009310741700733817	0.023548319689312473	0.009875153196945754	0.0
22	51	0.26702813171025563	0.019824597772403536	0.011424789918978986	0.011907081468932285	0.013813346569729292	0.015315670097255256	0.019287291713439788	0.017394079416948267	0.02435721707999857	0.022073961041179927	0.03180717658657039	0.008751689186819945	0.037516230065239985	0.03355500079275938	0.0
23	47	0.21271547262819235	0.01109993707270659	0.005655539939797741	0.006872736018083494	0.008704861192197676	0.010034967520201069	0.013185272099849448	0.013213730792017975	0.01940418502746783	0.019948838920721544	0.03782276978388574	0.0110694594508482	0.03456764735179156	0.02113552745862349	0.0
24	52	0.22428040389625314	0.0074210794696825556	0.0039179863065078235	0.005469003483323725	0.007612954191766162	0.009615780283207611	0.01417086960556526	0.015038875978088423	0.02260545462207764	0.02804919543450963	0.0494312899059792	0.014273726635497006	0.03741483783284748	0.009259350147200645	0.0
25	66	0.15613802238867303	0.006606911153572459	0.004002183436181953	0.0054816428092575925	0.007438799714326982	0.008964154593669775	0.011636555621058036	0.011557231753631804	0.018345931689746728	0.019119054223654938	0.03201196829670963	0.008704394113699712	0.01766619186207405	0.004603003121089376	0.0
