	gt	ms_total	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13
0	33	0.19809995135974762	0.017457784948609174	0.011224544050060414	0.0138270045909878	0.016676713373262878	0.01633663017355974	0.018197602426963232	0.015930634799968063	0.02065312682963259	0.01781325812564666	0.02684267845408235	0.0061469167459404905	0.011221216066771386	0.005771840774262871	0.0
1	77	0.25376791879044003	0.02779602643058105	0.01559033028613126	0.01741644356878426	0.020980719366143034	0.022531322432271468	0.024785501479240087	0.02011825582122522	0.025651284936369013	0.021512648662228313	0.02564157609946694	0.0025891524426162977	0.01587584944758317	0.013278807817799883	0.0
2	81	0.2659212060834016	0.05802699280010214	0.023887727361179764	0.022318561070188876	0.023772542219836573	0.023524309161389402	0.02565993366700959	0.0231893898581878	0.027475379668683977	0.015273199960113375	0.016162688494396765	0.0024374789286396893	0.003505505363611731	0.0006874975300618921	0.0
3	28	0.09789045908223787	0.007655186025104814	0.003345627180305795	0.004161816146151321	0.004790102772653579	0.0030659245448604946	0.0027776446185444658	0.002839536434508934	0.0049320763605185365	0.007285325097061231	0.016321855065687806	0.00621603828042456	0.022445273612870638	0.012054052943545685	0.0
4	56	0.13788413252251783	0.038874470553125456	0.011002888231264309	0.010292792250949468	0.01331546377936537	0.012247051476354362	0.009682110393487837	0.0061152181862537056	0.0066000336328539844	0.007352099400689002	0.01116615132170268	0.0015993811634780232	0.008151553639262867	0.0014849184937307646	0.0
5	83	0.19709229297956238	0.06446433288254841	0.02182473453305406	0.018292097918109734	0.01791265891116605	0.01469923124355028	0.013638731760579469	0.009848030616143803	0.010884031345339702	0.009138707872482213	0.009226864240339572	0.0020332157883664603	0.003847684913103555	0.0012819709547790877	0.0
6	12	0.11353582300664	0.019566450311545937	0.006774945265887886	0.006085974075709558	0.005146838208628347	0.003891556675188001	0.004815991550058147	0.004436378659213782	0.004497094594834631	0.009796255236234678	0.013613747412922907	0.002887132648166365	0.018981172021595043	0.013042286346654709	0.0
7	41	0.264043144835598	0.035180173429670766	0.016697912791308084	0.014357552501167142	0.01503139325267816	0.017553965461333334	0.020006735272070638	0.014932676064079723	0.02012225038060907	0.026970582611639787	0.050109900749939554	0.01198850583442226	0.018052560535503227	0.003038935951176217	0.0
8	44	0.22486190077812968	0.026029106407511632	0.012992289886404995	0.01223321653753958	0.013846561260480998	0.01477797187061498	0.016197410043666313	0.013086430648578567	0.017648502828965285	0.022166002038668108	0.042666691724927486	0.011099407193711053	0.02070481568986793	0.0014134946471927644	0.0
9	57	0.09349598142700535	0.012003171418039464	0.0041856355946502865	0.0051793693967031856	0.00681026936920677	0.007190822935044252	0.008547922165815385	0.007978670327042301	0.010828982073683581	0.011230444520694941	0.010129838185076658	0.005557440401435987	0.003014190241362977	0.0008392247982495797	0.0
