	gt	ms_total	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13
0	36	0.07831859081105014	0.006601205340202648	0.0013354596076941318	0.002119239254559188	0.0033152262510427995	0.0041876118259049945	0.005719951134888357	0.005385502399973286	0.006160923634976855	0.010249292695408242	0.011325470487591013	0.0051889804542997586	0.011216098784383765	0.0055136289401251015	0.0
1	42	0.18940369847405197	0.0052049561416982505	0.002561842266613201	0.00464628107391476	0.007802151533558353	0.010876234327589981	0.016083402115513176	0.0167982379468416	0.025776994163461513	0.025812408911135225	0.03427574287678468	0.005187361034228204	0.020646105291947207	0.013731980790765829	0.0
2	33	0.16716558846625523	0.006758867197714605	0.0025967854055424086	0.0036071371557506895	0.004924421854777081	0.006290571498372036	0.0096905380105182	0.010502357090970452	0.016010325590964082	0.020071439096281805	0.03547454309418233	0.009266583334282697	0.036391636145978845	0.005580382990919981	0.0
3	45	0.1899097448428183	0.0056030646547303815	0.0030648230792163604	0.005616797974576284	0.008669827979152802	0.01032577028940827	0.01399102648865803	0.014326787247667696	0.02051033330842494	0.02170485025147114	0.03355437899869123	0.008821442118493554	0.02549597368132677	0.01822466877100085	0.0
4	59	0.1878237295562067	0.005990508151567124	0.002576292547637348	0.004458149256900981	0.007430723493174571	0.010558550224976582	0.014939998743692933	0.013910884489378002	0.019462434504205744	0.0236626886861833	0.04207238575656313	0.00858591748051113	0.02507105290273487	0.009104143318680976	0.0
5	59	0.1341846005512119	0.005110124172049418	0.0022044311271497263	0.003997996197780276	0.006772607636850801	0.009136396793521786	0.012652533930810683	0.012537096969466841	0.018002525832195724	0.01799290649752202	0.020820864961379464	0.0026052135864533307	0.017175335172858044	0.005176567673173789	0.0
6	46	0.1027189258845081	0.0051883526816422654	0.0015932307968112003	0.0024486927617266186	0.0032819627520915104	0.0038862811387097894	0.00574603633684225	0.006243958593796775	0.009408612355581623	0.013753836217682933	0.02229622407529925	0.0025962438940448605	0.015477192214566206	0.010798302065712813	0.0
7	52	0.144218806410949	0.0041044687867621615	0.001442189679783595	0.002632786372282375	0.004444814768281678	0.00636842297016901	0.01037762189476121	0.012252373778956143	0.02145406136952033	0.023249020623639715	0.030408176247036497	0.004727192464637966	0.017970567897522757	0.004787109557595558	0.0
8	11	0.23152257529068876	0.0038980549982800916	0.0011669093914451027	0.0022011506943529187	0.004053915310375359	0.0064428764145488095	0.011888999570851863	0.016122445748309972	0.03178903455363207	0.03354346541237782	0.05419265187515253	0.014276155915415582	0.03389852415350582	0.018048391252440805	0.0
9	33	0.04929655167140801	0.006101070583086066	0.0014245058092161762	0.001911675348632064	0.0023990864373064167	0.002652381453611437	0.0036131905176027363	0.003132360884268961	0.0027274201717680108	0.007110401887430687	0.007615878408015593	0.00566709822993367	0.0036614099397015726	0.0012800720008346199	0.0
10	19	0.07860268579204305	0.003986592353557275	0.001301646876901845	0.0014836016856144283	0.0016839154257396864	0.0019066718479714782	0.0029899084366822653	0.003451951637801462	0.0058439314646421825	0.009472758744485056	0.017720335390784617	0.004321870985009062	0.019978482388504398	0.0044610185543493015	0.0
11	19	0.059233765829406704	0.005553494386006856	0.0008548016904239288	0.0013212808678480694	0.0018052030764239156	0.0021347655405598	0.0031852598485593245	0.003257712406407505	0.004116155991409806	0.009507053903837208	0.011354799277838914	0.004041735239564045	0.008135107538932998	0.003966396061594334	0.0
12	22	0.10540857842046897	0.0061269684540647285	0.001416683560040878	0.002123432929092416	0.002837996813451439	0.003574600255262673	0.005692296079541257	0.006328658470124381	0.009110420855542789	0.014134640636553363	0.02397586770270113	0.0014575173931722456	0.018880913916192375	0.009748581354729283	0.0
13	47	0.16378351086946322	0.0034318963440790624	0.0010957070976239161	0.0016786836813553808	0.002567329339289029	0.0035813771818122824	0.0059214676207087	0.007036091734663774	0.012107049354734126	0.01654922351919976	0.03464365497916317	0.01113611840533571	0.03603919543334221	0.027995716178156084	0.0
14	54	0.140119343055691	0.006110421645796081	0.0022583488530503546	0.003400471591243577	0.004800259881935177	0.005804853329228964	0.007870656569172303	0.0081372322845504	0.012547239886060262	0.016480241855811574	0.027252036777516545	0.004142201833758855	0.024402154492693305	0.016913224054873596	0.0
15	48	0.09004012001698906	0.005389449206104312	0.0014861886543275924	0.002309245810271961	0.00334113254705915	0.004348154871329323	0.006655523389625645	0.00673568457902083	0.008338885208390044	0.010637489828276293	0.01341967194070839	0.00198560360992114	0.016755281516483443	0.008637808855470932	0.0
16	62	0.11217124165067	0.005222747570423502	0.002119488276664401	0.0030620590958253843	0.004064593520507968	0.004672739605072031	0.006490090520315928	0.006806330440757029	0.010496155731885313	0.012783558059158099	0.019741100317764104	0.003950179251967969	0.021097488105309623	0.011664711155018659	0.0
17	60	0.24005486627724654	0.00409825933299883	0.0016856917952086004	0.0030874428284775185	0.005347471811990465	0.008097063802135276	0.014076598680471748	0.01784314241582116	0.03284674938887335	0.03618134568477209	0.05139843985583378	0.011998240301861897	0.026995437401575915	0.026398982977225895	0.0
18	62	0.3136972573810278	0.004713879614573893	0.0018936709541086806	0.0036815697575174134	0.006835447890477792	0.010579566251992158	0.017789574397551855	0.021621654732124893	0.038405545755913	0.04320202797290281	0.07802747306470133	0.02106359705079755	0.0401261033739789	0.025757146564387552	0.0
19	26	0.08365033546214665	0.006029401807464018	0.0016005163202336406	0.002421896281973333	0.0032538232673520063	0.0039279130914721214	0.005750766028925719	0.005844002567158727	0.007992110577361586	0.012913485555118905	0.016393962134271512	0.002477622202779497	0.013345869205624337	0.0016989664224112584	0.0
20	22	0.13302876061947677	0.0033349676875319215	0.0005813200599459655	0.0009399057808669479	0.001478716335938021	0.002204229692034402	0.004050366734818174	0.004953772457276405	0.008727760216082747	0.013554806002187784	0.027990000816639965	0.007134511788089897	0.03039053877801204	0.02768786427005252	0.0
